ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
139912,Environmental Managers,2800,13,41,N/A,43,N/A,,
139913,Laboratory Managers,2800,14,48,N/A,45,N/A,,
139914,Quality Assurance Managers,19100,15,55,N/A,43,N/A,,
139915,Sports Administrators,2900,25,41,N/A,38,N/A,,
139999,Specialist Managers (not covered elsewhere),33600,10,36,N/A,45,N/A,,
141911,Bed and Breakfast Operators,1600,75,69,N/A,60,N/A,,
141912,Retirement Village Managers,1300,20,69,N/A,54,N/A,,
141999,Accommodation and Hospitality Managers (not covered elsewhere),4400,39,57,N/A,52,N/A,,
142111,Retail Managers (General),183500,26,50,N/A,41,N/A,,
142112,Antique Dealers,690,54,48,N/A,59,N/A,,
142113,Betting Agency Managers,390,55,54,N/A,54,N/A,,
142114,Hair and Beauty Salon Managers,5700,43,82,N/A,38,N/A,,
142115,Post Office Managers,3000,18,52,N/A,53,N/A,,
142116,Travel Agency Managers,1200,38,58,N/A,48,N/A,,
149111,Amusement Centre Managers,2800,35,43,N/A,33,N/A,,
149112,Fitness Centre Managers,6100,38,51,N/A,35,N/A,,
149113,Sports Centre Managers,4900,37,44,N/A,39,N/A,,
149211,Call Centre or Contact Centre Managers,3800,10,41,N/A,42,N/A,,
149212,Customer Service Managers,40000,13,48,N/A,42,N/A,,
149411,Fleet Managers,3400,9,28,N/A,46,N/A,,
149412,Railway Station Managers,940,6,22,N/A,50,N/A,,
149413,Transport Company Managers,11300,22,16,N/A,50,N/A,,
149911,Boarding Kennel and Cattery Operators,500,35,68,N/A,54,N/A,,
149912,Cinema and Theatre Managers,1500,54,53,N/A,32,N/A,,
